goodreads_book_id,tag_id,count
386,30574,565
386,19733,280
386,21689,182
386,21773,99
386,19742,78
386,11557,61
386,11743,56
386,4605,31
386,4949,28
386,5500,23
386,4615,22
386,5413,21
386,23831,18
386,5207,17
386,18045,16
386,1195,16
386,32586,14
386,22743,13
386,14774,11
386,19788,11
386,1416,10
386,4594,10
386,919,10
386,3611,9
386,17213,8
386,11221,8
386,19738,8
386,1599,8
386,1194,8
386,8717,7
386,30521,7
386,18367,7
386,30756,7
386,4568,7
386,25146,7
386,1196,7
386,22034,6
386,8055,6
386,8346,6
386,9221,5
386,27556,5
386,1642,5
386,26735,5
386,19737,5
386,9477,5
386,5051,5
386,19786,5
386,25144,5
386,8483,5
386,11455,5
386,5412,5
386,5410,5
386,30707,5
386,5090,4
386,31656,4
386,25147,4
386,611,4
386,19524,4
386,15048,4
386,30755,4
386,30551,4
386,11978,4
386,4561,4
386,4600,4
386,4985,4
386,11834,4
386,7668,4
386,21685,4
386,4607,4
386,19749,4
386,19744,4
386,19755,4
386,25202,4
386,6030,4
386,21285,4
386,22753,3
386,11505,3
386,20849,3
386,14764,3
386,3616,3
386,4596,3
386,4611,3
386,19735,3
386,32099,3
386,7725,3
386,24716,3
386,5393,3
386,22816,3
386,12663,3
386,21406,3
386,9959,3
386,19734,3
386,25110,3
386,1960,3
386,5153,3
386,32863,3
386,5414,3
386,1193,3
386,1192,3
386,7573,3
1241,30574,12142
1241,21689,717
1241,8717,570
1241,4605,282
1241,4949,256
1241,11743,222
1241,19733,186
1241,11557,185
1241,5207,136
1241,22743,132
1241,8055,123
1241,22753,120
1241,24526,116
1241,22456,99
1241,11590,87
1241,1599,87
1241,3611,76
1241,5051,76
1241,22449,76
1241,9959,73
1241,20774,68
1241,1416,67
1241,4594,67
1241,30521,65
1241,15169,62
1241,20849,60
1241,1659,59
1241,21773,57
1241,22465,57
1241,22034,55
1241,9221,54
1241,19742,53
1241,617,52
1241,19786,52
1241,22451,48
1241,9477,45
1241,22689,41
1241,12948,40
1241,31505,39
1241,9484,38
1241,9886,37
1241,25523,37
1241,19788,36
1241,8067,35
1241,16077,35
1241,21374,34
1241,4959,33
1241,12869,33
1241,615,32
1241,27535,31
1241,18045,29
1241,18367,29
1241,5090,27
1241,20824,26
1241,17213,26
1241,21989,25
1241,4968,25
1241,4600,24
1241,22733,24
1241,19749,24
1241,8346,23
1241,11505,22
1241,5444,22
1241,5481,22
1241,1960,22
1241,3389,20
1241,22352,20
1241,1642,20
1241,32586,20
1241,9638,20
1241,5332,20
1241,8344,20
1241,2104,19
1241,11497,19
1241,20781,19
1241,14764,19
1241,4568,19
1241,25438,18
1241,22344,18
1241,3616,18
1241,19738,18
1241,4587,18
1241,19735,18
1241,9954,18
1241,25609,17
1241,10644,16
1241,11491,16
1241,2277,16
1241,4985,16
1241,20125,16
1241,2158,16
1241,19728,16
1241,24493,16
1241,10197,15
1241,20288,15
1241,25148,15
1241,19524,15
1241,4615,15
1241,19737,15
1241,30766,15
1617,30574,51054
1617,21689,5705
1617,8717,4704
1617,11557,3917
1617,7457,3905
1617,14552,2936
1617,21773,2742
1617,26735,1229
1617,14467,1088
1617,19742,951
1617,5207,895
1617,11743,772
1617,32917,716
1617,22743,709
1617,14487,662
1617,25114,637
1617,7404,605
1617,3611,580
1617,19733,440
1617,12315,438
1617,26740,415
1617,18367,412
1617,4615,401
1617,32812,374
1617,14370,359
1617,33114,315
1617,1642,313
1617,16383,310
1617,4949,298
1617,27199,292
1617,32906,271
1617,4594,263
1617,4605,253
1617,30521,242
1617,22753,239
1617,18045,236
1617,19738,208
1617,32808,198
1617,26754,191
1617,14730,187
1617,24960,175
1617,26256,158
1617,10932,155
1617,26752,155
1617,3389,154
1617,11590,150
1617,20849,146
1617,25647,146
1617,2104,143
1617,25761,143
1617,25191,135
1617,20774,133
1617,16680,133
1617,32130,131
1617,9221,129
1617,22034,128
1617,29045,123
1617,25152,122
1617,11505,120
1617,3392,111
1617,15169,110
1617,32989,107
1617,1128,105
1617,4600,103
1617,4611,102
1617,32586,99
1617,4587,99
1617,22456,98
1617,17213,97
1617,30573,96
1617,22449,94
1617,27535,92
1617,13116,91
1617,3371,90
1617,12986,90
1617,26251,89
1617,3616,89
1617,22689,88
1617,19983,85
1617,10418,82
1617,25150,81
1617,4561,81
1617,25151,80
1617,18851,80
1617,5090,79
1617,7423,76
1617,5153,76
1617,21552,76
1617,4568,75
1617,14821,75
1617,25153,73
1617,26246,73
1617,25011,71
1617,20824,70
1617,9147,70
1617,14520,70
1617,25765,69
1617,8055,69
1617,25149,68
1617,23471,68
1624,30574,7791
1624,8717,983
1624,21689,501
1624,19733,381
1624,4605,315
1624,1746,310
1624,21773,257
1624,11557,245
1624,31155,156
1624,4949,155
1624,1691,133
1624,14552,128
1624,19742,105
1624,3611,83
1624,4615,81
1624,3659,74
1624,17213,61
1624,17027,47
1624,7457,44
1624,4594,43
1624,22743,39
1624,19738,39
1624,5051,33
1624,3389,31
1624,3371,31
1624,32686,30
1624,5207,26
1624,4985,26
1624,11743,24
1624,18045,23
1624,3392,22
1624,14467,19
1624,4568,18
1624,4611,18
1624,10197,17
1624,923,17
1624,3616,17
1624,30755,16
1624,1416,16
1624,2104,14
1624,11505,14
1624,30521,14
1624,32586,14
1624,4561,14
1624,9477,14
1624,3358,13
1624,30756,13
1624,4607,13
1624,9221,12
1624,25152,12
1624,18367,12
1624,1642,12
1624,31156,12
1624,19735,12
1624,9484,11
1624,4959,11
1624,14487,10
1624,3377,10
1624,19737,10
1624,4600,10
1624,12143,10
1624,24960,9
1624,11497,9
1624,5751,9
1624,24999,9
1624,18051,9
1624,25506,9
1624,1750,9
1624,10644,8
1624,27535,8
1624,7404,8
1624,10210,8
1624,3379,8
1624,11665,8
1624,3608,8
1624,11644,8
1624,8657,8
1624,19749,8
1624,4306,8
1624,22753,7
